nome,1950,1960,1970,1980,1991,2000,2010
Rondônia,2,2,2,7,23,52,52
Acre,7,7,7,12,12,22,22
Amazonas,25,44,44,44,62,62,62
Roraima,2,2,2,2,8,15,15
Pará,59,60,83,83,105,143,143
Amapá,4,5,5,5,9,16,16
Tocantins,14,33,52,50,79,139,139
Maranhão,72,91,130,130,136,217,217
Piauí,49,71,114,114,118,221,224
Ceará,79,142,142,141,178,184,184
Rio Grande do Norte,48,83,150,150,152,166,167
Paraíba,41,88,171,171,171,223,223
Pernambuco,91,103,165,165,168,185,185
Alagoas,37,69,94,94,97,101,102
Sergipe,42,62,74,74,74,75,75
Bahia,150,194,336,336,415,415,417
Minas Gerais,386,483,722,722,723,853,853
Espírito Santo,33,37,53,53,67,77,78
Rio de Janeiro,57,62,64,64,70,91,92
São Paulo,369,503,571,571,572,645,645
Paraná,80,162,288,290,323,399,399
Santa Catarina,52,102,197,197,217,293,293
Rio Grande do Sul,92,150,232,232,333,467,496
Mato Grosso do Sul,20,35,50,55,72,77,78
Mato Grosso,15,29,34,55,95,126,141
Goiás,63,146,169,173,211,242,246
Distrito Federal,0,1,1,1,1,1,1
